txn_date,value_date,description,ref_no,debit,credit,balance
2026-06-04,2026-06-04,RAZORPAY SETTLEMENT setl_LJIppauzHUZtSU PART 1 OF 4,PUNBR23628249997,,3369.55,53369.55
2026-06-04,2026-06-04,NEFT-AXISP11408890798-ACME RETAIL PVT LT-INV-2026-1002-CR,AXISP11408890798,,1217.54,54587.09
2026-06-04,2026-06-04,RAZORPAY SETTLEMENT setl_LJIppauzHUZtSU PART 2 OF 4,PUNBR75139201392,,5059.84,59646.93
2026-06-04,2026-06-04,RAZORPAY SETTLEMENT setl_LJIppauzHUZtSU PART 3 OF 4,AXISP89460110762,,1480.93,61127.86
2026-06-04,2026-06-04,RAZORPAY SETTLEMENT setl_LJIppauzHUZtSU PART 4 OF 4,KKBKH36975190038,,2224.27,63352.13
2026-06-06,2026-06-06,RAZORPAY SETTLEMENT setl_KqPpowfwOFbJhV PART 1 OF 2,UTIBP88628414531,,8937.15,72289.28
2026-06-06,2026-06-06,RAZORPAY SETTLEMENT setl_KqPpowfwOFbJhV PART 2 OF 2,UTIBP91060626569,,15519.04,87808.32
2026-06-08,2026-06-08,RAZORPAY SETTLEMENT setl_g3m4bPmmj6FV86 PART 1 OF 2,KKBKH30180936761,,3309.09,91117.41
2026-06-08,2026-06-08,BY CLG/901937/LOTUS PAPER MILLS,UTIBP63188711592,,22943.53,114060.94
2026-06-08,2026-06-08,NEFT-HDFCN22025282443-QUANTUM INSTRUMENT-CR,HDFCN22025282443,,41685.82,155746.76
2026-06-08,2026-06-08,RAZORPAY SETTLEMENT setl_g3m4bPmmj6FV86 PART 2 OF 2,HDFCN11335953218,,5866.37,161613.13
2026-06-08,2026-06-08,CHARGEBACK REV AXISP11408890798 DISPUTE,AXISP11408890798,1217.54,,160395.59
2026-06-09,2026-06-09,IMPS/87705493982/SUNRISE TEXTILES L/INV-2026-1005,PUNBR87705493982,,24730.88,185126.47
2026-06-09,2026-06-09,RAZORPAY SETTLEMENT setl_6LfpHKncQzrcfk 1 TXNS,AXISP02216843170,,11523.87,196650.34
2026-06-09,2026-06-09,RAZORPAY SETTLEMENT setl_j3nAGAIVLGDPM7 1 TXNS,ICICR07264507423,,41080.14,237730.48
2026-06-10,2026-06-10,RAZORPAY SETTLEMENT setl_lZIXHC51pte6hU 1 TXNS,ICICR04384136855,,38606.08,276336.56
2026-06-11,2026-06-11,UPI/49792755587/PAYMENT/KAVERI AGRO,AXISP49792755587,,9557.29,285893.85
2026-06-11,2026-06-11,BHARAT TRADERS FUND TRF 849278 INV20261014,KKBKH96111166615,,1519.50,287413.35
2026-06-11,2026-06-11,RTGS-ICICR18519990602-LOTUS PAPER MILLS-INV-2026-1013-CR,ICICR18519990602,,4865.33,292278.68
2026-06-13,2026-06-13,RAZORPAY SETTLEMENT setl_Nk4zIoKlpTyK56 4 TXNS,KKBKH91499467121,,17438.42,309717.10
2026-06-15,2026-06-15,NEFT-HDFCN22318305062-NOVA CHEMICALS IND-INV-2026-1020-CR,HDFCN22318305062,,13612.21,323329.31
2026-06-15,2026-06-15,BY CLG/330831/SUNRISE TEXTILES L,PUNBR33372584762,,20466.07,343795.38
2026-06-16,2026-06-16,IMPS/91710732694/HARBOUR MARINE SUP/INV-2026-1025,UTIBP91710732694,,7687.11,351482.49
2026-06-16,2026-06-16,RTGS-HDFCN87237550611-PINNACLE STEEL TRA-INV-2026-1027-CR,HDFCN87237550611,,3360.44,354842.93
2026-06-17,2026-06-17,RAZORPAY SETTLEMENT setl_LnxZxda1zZXaGO 3 TXNS,PUNBR81508175311,,10549.56,365392.49
2026-06-18,2026-06-18,CHARGEBACK REV HDFCN22318305062 DISPUTE,HDFCN22318305062,13612.21,,351780.28
2026-06-19,2026-06-19,UPI/49457107068/PAYMENT/MERIDIAN LOG/INV-2026-1031,ICICR49457107068,,4017.91,355798.19
2026-06-19,2026-06-19,CHARGEBACK REV KKBKH91499467121 DISPUTE PARTIAL,KKBKH91499467121,7456.27,,348341.92
2026-06-20,2026-06-20,RAZORPAY SETTLEMENT setl_jTSrlm1Vm898Aa 2 TXNS,AXISP63260530390,,37967.09,386309.01
2026-06-22,2026-06-22,IMPS/60741155344/SUNRISE TEXTILES L/INV-2026-1030,PUNBR60741155344,,1412.36,387721.37
2026-06-22,2026-06-22,UPI/59413906687/PAYMENT/KAVERI AGRO,KKBKH59413906687,,5904.62,393625.99
2026-06-22,2026-06-22,IMPS/23120737975/NOVA CHEMICALS IND,PUNBR23120737975,,35514.14,429140.13
2026-06-22,2026-06-22,BY CLG/666792/VERTEX ENGINEERIN,UTIBP51234026739,,8863.76,438003.89
2026-06-23,2026-06-23,RAZORPAY SETTLEMENT setl_Omfi4bAgHN5nQy 5 TXNS,PUNBR34388851022,,37519.22,475523.11
2026-06-23,2026-06-23,CHARGEBACK REV PUNBR81508175311 DISPUTE PARTIAL,PUNBR81508175311,1034.18,,474488.93
2026-06-25,2026-06-25,RAZORPAY SETTLEMENT setl_fveDfEqkIyKoOB 1 TXNS,KKBKH19470586475,,32287.47,506776.40
2026-06-25,2026-06-25,NEFT-ICICR47032504942-KAVERI AGRO EXPORT-INV-2026-1043-CR,ICICR47032504942,,10658.93,517435.33
2026-06-26,2026-06-26,NEFT-HDFCN12074445212-LOTUS PAPER MILLS-CR,HDFCN12074445212,,44668.48,562103.81
2026-06-29,2026-06-29,RAZORPAY SETTLEMENT setl_O7quwdXw9jXNB1 1 TXNS,PUNBR02454489277,,7774.79,569878.60
2026-06-29,2026-06-29,NEFT-PUNBR92013531464-KAVERI AGRO EXPORT-INV-2026-1041-CR,PUNBR92013531464,,6185.19,576063.79
2026-06-29,2026-06-29,UPI/30808667613/PAYMENT/ACME RETAIL/INV-2026-1040,ICICR30808667613,,2800.38,578864.17
2026-06-29,2026-06-29,RTGS-ICICR20389267501-LOTUS PAPER MILLS-CR,ICICR20389267501,,41102.54,619966.71
2026-06-29,2026-06-29,NEFT-HDFCN77934035667-DECCAN PHARMA DIST-INV-2026-1049-CR,HDFCN77934035667,,12682.89,632649.60
2026-06-29,2026-06-29,RAZORPAY SETTLEMENT setl_LekkdD9WKIgkDN 1 TXNS,UTIBP12777404112,,38371.33,671020.93
2026-07-01,2026-07-01,NEFT-KKBKH05851893192-NOVA CHEMICALS IND-INV-2026-1057-CR,KKBKH05851893192,,6435.37,677456.30
2026-07-01,2026-07-01,IMPS/73265254997/ACME RETAIL PVT LT/INV-2026-1054,UTIBP73265254997,,36269.36,713725.66
2026-07-01,2026-07-01,NEFT-AXISP13883833939-ACME INDUSTRIAL SU-CR,AXISP13883833939,,14610.60,728336.26
2026-07-02,2026-07-02,UPI/20361699320/PAYMENT/BHARATI TRAD,HDFCN20361699320,,41920.52,770256.78
2026-07-03,2026-07-03,RTGS-AXISP49481443980-SUNLINE TEXTILES L-CR,AXISP49481443980,,759.76,771016.54
2026-07-03,2026-07-03,NEFT-UTIBP81648032585-KAVERI AGRO EXPORT-CR,UTIBP81648032585,,28137.10,799153.64
2026-07-06,2026-07-06,MB:7012558430-DECCAN PHARMA DIST-INV/2026/1060,ICICR44302963610,,7239.07,806392.71
2026-07-06,2026-07-06,HARBOUR MARINE SUP FUND TRF 138681 INV20261063,KKBKH78913095583,,18249.62,824642.33
2026-07-06,2026-07-06,IMPS/89711865228/HARBOUR MARINE SUP/INV-2026-1061,KKBKH89711865228,,6913.71,831556.04
2026-07-06,2026-07-06,RTGS-PUNBR94445115394-GREENFIELD ORGANIC-CR,PUNBR94445115394,,39881.09,871437.13
2026-07-06,2026-07-06,IMPS/16722692723/HARBOUR MARINE SUP,AXISP16722692723,,41801.26,913238.39
2026-07-06,2026-07-06,NEFT-KKBKH50259179672-ORCHID FOODS PVT-CR,KKBKH50259179672,,45673.58,958911.97
2026-07-07,2026-07-07,RAZORPAY SETTLEMENT setl_vddDXFGr068nZP 1 TXNS,HDFCN68071653508,,6742.82,965654.79
2026-07-07,2026-07-07,CHARGEBACK REV KKBKH05851893192 DISPUTE,KKBKH05851893192,6435.37,,959219.42
2026-07-09,2026-07-09,RAZORPAY SETTLEMENT setl_Pkh70AF7dMyzT2 5 TXNS,ICICR94388374673,,93835.41,1053054.83
2026-07-10,2026-07-10,NEFT-UTIBP18435387416-GREENFIELD ORGANIC-INV-2026-1072-CR,UTIBP18435387416,,38401.53,1091456.36
2026-07-10,2026-07-10,NEFT-HDFCN59731593241-KAVERI AGRO EXPORT-INV-2026-1075-CR,HDFCN59731593241,,12447.25,1103903.61
2026-07-10,2026-07-10,UPI/77949626596/PAYMENT/DECCAN PHARM/INV-2026-1071,ICICR77949626596,,47091.92,1150995.53
2026-07-11,2026-07-11,CHARGEBACK REV PUNBR92779558955 DISPUTE,PUNBR92779558955,1008.00,,1149987.53
2026-07-12,2026-07-12,TRF FRM 32458094242 SUNRISETEXTILESL INV20261074 CR,UTIBP93091952031,,32074.16,1182061.69
2026-07-13,2026-07-13,RAZORPAY SETTLEMENT setl_pjOWiM6zdw0sD4 1 TXNS,ICICR82187806212,,4840.00,1186901.69
2026-07-13,2026-07-13,RTGS-AXISP81626922511-MERIDIAN LOGISTICS-INV-2026-1070-CR,AXISP81626922511,,534.75,1187436.44
2026-07-13,2026-07-13,NEFT-HDFCN95283328397-GREENFIELD ORGANIC-INV-2026-1079-CR,HDFCN95283328397,,17051.80,1204488.24
2026-07-13,2026-07-13,RAZORPAY SETTLEMENT setl_4aLEcm413oNnC4 1 TXNS,UTIBP73259920214,,18360.66,1222848.90
2026-07-13,2026-07-13,CMS/ORCHIDFOODSPVT/INV/2026/1076/CR,PUNBR80859466351,,30769.92,1253618.82
