invoice_no,customer_name,customer_gstin,invoice_date,due_date,gross_amount,tds_amount,net_receivable,currency,status,po_reference
INV-2026-1001,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-06-01,2026-07-01,3180.00,0.00,3180.00,INR,open,PO-SUNR-87365
INV-2026-1002,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-06-01,2026-07-01,4411.00,88.22,4322.78,INR,open,PO-ACME-82382
INV-2026-1003,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-06-01,2026-07-01,1250.00,0.00,1250.00,INR,open,PO-ACME-78912
INV-2026-1004,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-06-03,2026-07-03,9420.00,0.00,9420.00,INR,open,PO-SUNR-72802
INV-2026-1005,Harbour Marine Supplies,33AAECH4567Z1ZN,2026-06-02,2026-07-02,25108.00,502.16,24605.84,INR,open,PO-HARB-82722
INV-2026-1006,Quantum Instruments Pvt Ltd,29AADCQ8901A1ZF,2026-06-02,2026-07-02,12458.00,0.00,12458.00,INR,open,PO-QUAN-16061
INV-2026-1007,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-06-06,2026-07-06,30091.00,601.82,29489.18,INR,open,PO-SUNL-98383
INV-2026-1008,Meridian Logistics,29AAPFM3456Q1ZB,2026-06-05,2026-07-05,5240.00,0.00,5240.00,INR,open,PO-MERI-82196
INV-2026-1009,Silverline Packaging LLP,29AAQFS2345W1ZD,2026-06-04,2026-07-04,21377.00,0.00,21377.00,INR,open,PO-SILV-20645
INV-2026-1010,Kaveri Agro Exports,29AAECK7890R1ZM,2026-06-05,2026-07-05,9812.00,0.00,9812.00,INR,open,PO-KAVE-70727
INV-2026-1011,Bharat Traders & Co,27AACFB5678N1ZK,2026-06-06,2026-07-06,3450.00,0.00,3450.00,INR,open,PO-BHAR-88962
INV-2026-1012,Meridian Logistic LLP,29AAPFM3456Q1ZB,2026-06-05,2026-07-05,49953.00,0.00,49953.00,INR,open,PO-MERI-57330
INV-2026-1013,MERIDIAN LOGISTICS,29AAPFM3456Q1ZB,2026-06-09,2026-07-09,48573.00,0.00,48573.00,INR,open,PO-MERI-21199
INV-2026-1014,Lotus Paper Mills Limited,24AAFCL2345B1ZT,2026-06-07,2026-07-07,4995.00,0.00,4995.00,INR,open,PO-LOTU-75232
INV-2026-1015,Deccan Pharma Distributors,36AAFCD6789T1ZW,2026-06-09,2026-07-09,10176.00,203.52,9972.48,INR,open,PO-DECC-57327
INV-2026-1016,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-06-07,2026-07-07,5619.00,0.00,5619.00,INR,open,PO-SUNR-55288
INV-2026-1017,Deccan Pharma Distributors,36AAFCD6789T1ZW,2026-06-08,2026-07-08,38778.00,0.00,38778.00,INR,open,PO-DECC-17470
INV-2026-1018,Quantum Instruments Private Limited,29AADCQ8901A1ZF,2026-06-07,2026-07-07,25784.00,515.68,25268.32,INR,open,PO-QUAN-27323
INV-2026-1019,Bharat Traders and Co,27AACFB5678N1ZK,2026-06-12,2026-07-12,1560.00,0.00,1560.00,INR,open,PO-BHAR-24103
INV-2026-1020,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-06-11,2026-07-11,4995.00,0.00,4995.00,INR,open,PO-PINN-91865
INV-2026-1021,Quantum Instruments Pvt Ltd,29AADCQ8901A1ZF,2026-06-10,2026-07-10,8907.00,0.00,8907.00,INR,open,PO-QUAN-92223
INV-2026-1022,Meridian Logistics LLP,29AAPFM3456Q1ZB,2026-06-12,2026-07-12,4125.00,0.00,4125.00,INR,open,PO-MERI-64797
INV-2026-1023,Silverline Packaging,29AAQFS2345W1ZD,2026-06-10,2026-07-10,6326.00,126.52,6199.48,INR,open,PO-SILV-15222
INV-2026-1024,Nova Chemicals India Private Limited,24AADCN2345S1ZQ,2026-06-12,2026-07-12,49389.00,0.00,49389.00,INR,open,PO-NOVA-48840
INV-2026-1025,Bharat Traders,27AACFB5678N1ZK,2026-06-15,2026-07-15,7655.00,0.00,7655.00,INR,open,PO-BHAR-67034
INV-2026-1026,Nova Chemicals India Pvt Ltd,24AADCN2345S1ZQ,2026-06-15,2026-07-15,14750.00,0.00,14750.00,INR,open,PO-NOVA-51550
INV-2026-1027,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-06-13,2026-07-13,7892.00,0.00,7892.00,INR,open,PO-ACME-11763
INV-2026-1028,DECCAN PHARMA DIST,36AAFCD6789T1ZW,2026-06-13,2026-07-13,10481.00,0.00,10481.00,INR,open,PO-DECC-17730
INV-2026-1029,Kaveri Agro Export,29AAECK7890R1ZM,2026-06-15,2026-07-15,7235.00,0.00,7235.00,INR,open,PO-KAVE-92455
INV-2026-1030,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-06-13,2026-07-13,39632.00,0.00,39632.00,INR,open,PO-SUNR-94216
INV-2026-1031,SUNRISE TEXTILES,33AAGCS9012P1Z3,2026-06-17,2026-07-17,12423.00,0.00,12423.00,INR,open,PO-SUNR-12289
INV-2026-1032,Kaveri Agro Export,29AAECK7890R1ZM,2026-06-18,2026-07-18,13436.00,0.00,13436.00,INR,open,PO-KAVE-36691
INV-2026-1033,Meridian Logistics LLP,29AAPFM3456Q1ZB,2026-06-17,2026-07-17,19749.00,0.00,19749.00,INR,open,PO-MERI-49263
INV-2026-1034,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-06-18,2026-07-18,20926.00,0.00,20926.00,INR,open,PO-SUNR-72234
INV-2026-1035,Lotus Paper Mills Ltd,24AAFCL2345B1ZT,2026-06-16,2026-07-16,27390.00,0.00,27390.00,INR,open,PO-LOTU-57375
INV-2026-1036,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-06-18,2026-07-18,18591.00,0.00,18591.00,INR,open,PO-SUNL-20751
